
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                     0:11:12 N/A                                                                     
System                           4 Services                   0        168 K Unknown         N/A                                                     0:01:03 N/A                                                                     
Registry                       116 Services                   0     62,516 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
smss.exe                       456 Services                   0      1,660 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      684 Services                   0      7,536 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
wininit.exe                    756 Services                   0     10,224 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      764 Console                    1      7,516 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
winlogon.exe                   856 Console                    1     21,580 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
services.exe                   900 Services                   0     12,084 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
lsass.exe                      920 Services                   0     31,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                    512 Services                   0     36,480 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                     
fontdrvhost.exe                612 Console                    1      6,304 K Unknown         Font Driver Host\UMFD-1                                 0:00:00 N/A                                                                     
fontdrvhost.exe                688 Services                   0      4,980 K Unknown         Font Driver Host\UMFD-0                                 0:00:00 N/A                                                                     
svchost.exe                   1028 Services                   0     18,364 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:03 N/A                                                                     
svchost.exe                   1092 Services                   0     13,932 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
dwm.exe                       1152 Console                    1    152,268 K Running         Window Manager\DWM-1                                    0:00:27 DWM Notification Window                                                 
svchost.exe                   1304 Services                   0      7,488 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1312 Services                   0      8,532 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1416 Services                   0     13,804 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1424 Services                   0     15,872 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1488 Services                   0     10,368 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1548 Services                   0     20,548 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   1576 Services                   0     14,304 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1600 Services                   0      9,480 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1696 Services                   0     24,108 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1716 Services                   0     20,608 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1788 Services                   0     10,348 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1800 Services                   0     18,836 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                   1816 Services                   0     12,176 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   1824 Services                   0      7,988 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
Memory Compression            2020 Services                   0          N/A Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2036 Services                   0     11,804 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1212 Services                   0     11,528 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   1968 Services                   0     17,184 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
